,x86,x86_64,armhf,aarch64,ppc64le,s390x
main/busybox-initscripts,1,1,1,1,1,1
main/bvi,1,1,1,1,1,1
main/bwm-ng,1,1,1,1,1,1
main/byacc,1,1,1,1,1,1
main/byobu,1,1,1,1,1,1
main/bzip2,1,1,1,1,1,1
main/c-ares,1,1,1,1,1,1
main/ca-certificates,1,1,1,1,1,1
main/cabextract,1,1,1,1,1,1
main/cadaver,1,1,1,1,1,1
main/cairo,1,1,1,1,1,1
main/cairomm,1,1,1,1,1,1
main/ccache,1,1,1,1,1,1
main/cciss_vol_status,1,1,1,1,1,1
main/cd-discid,1,1,1,1,1,1
main/cdparanoia,1,1,1,1,1,1
main/cdrkit,1,1,1,1,1,1
main/cdw,1,1,1,1,1,1
main/cegui06,1,1,1,1,1,1
main/celt051,1,1,1,1,1,1
main/cgdb,1,1,1,1,1,1
main/cgit,1,1,1,1,1,1
main/charybdis,1,1,1,1,1,1
main/check,1,1,1,1,1,1
main/checkbashisms,1,1,1,1,1,1
main/chrony,1,1,1,1,1,1
main/chrpath,1,1,1,1,1,1
main/cifs-utils,1,1,1,1,1,1
main/ciwiki,1,1,1,1,1,1
main/cjdns,0,1,1,1,1,0
main/ckbcomp,1,1,1,1,1,1
main/cksfv,1,1,1,1,1,1
main/clamav,1,1,1,1,1,1
main/clamsmtp,1,1,1,1,1,1
main/clang,1,1,1,1,1,1
main/cloog,1,1,1,1,1,1
main/clucene,1,1,1,1,1,1
main/clutter,1,1,1,1,1,1
main/cmake,1,1,1,1,1,1
main/cmocka,1,1,1,0,1,1
main/cmph,1,1,1,1,1,1
main/cogl,1,1,1,1,1,1
main/collectd,1,1,1,1,1,1
main/compat-pvgrub,1,1,1,1,1,1
main/compiler-rt,1,1,1,1,1,1
main/compositeproto,1,1,1,1,1,1
main/confuse,1,1,1,1,1,1
main/conky,1,1,1,1,1,1
main/conntrack-tools,1,1,1,1,1,1
main/consolekit,1,1,1,1,1,1
main/coova-chilli,1,1,1,1,1,1
main/coreutils,1,1,1,1,1,1
main/cppunit,1,1,1,1,1,1
main/cpufreqd,1,1,1,1,1,1
main/cpufrequtils,1,1,1,1,1,1
main/cpulimit,1,1,1,1,1,1
main/cracklib,1,1,1,1,1,1
main/cracklib-words,1,1,1,1,1,1
main/cramfs,1,1,1,1,1,1
main/crconf,1,1,1,1,1,1
main/cryptsetup,1,1,1,1,1,1
main/ctags,1,1,1,1,1,1
main/cups,1,1,1,1,1,1
main/cups-filters,1,1,1,1,1,1
main/curl,1,1,1,1,1,1
main/cutter,1,1,1,1,1,1
main/cvechecker,1,1,1,1,1,1
main/cvs,1,1,1,1,1,1
main/cyrus-sasl,1,1,1,1,1,1
main/cython,1,1,1,1,1,1
main/d-feet,1,1,1,1,1,1
main/dahdi-linux,1,1,1,1,1,1
main/dahdi-linux-hardened,1,1,0,0,0,0
main/dahdi-tools,1,1,1,1,1,1
main/damageproto,1,1,1,1,1,1
main/dansguardian,1,1,1,1,1,1
main/daq,1,1,1,1,1,1
main/darkhttpd,1,1,1,1,1,1
main/darkice,1,1,1,1,1,1
main/darkstat,1,1,1,1,1,1
main/db,1,1,1,1,1,1
main/dbus,1,1,1,1,1,1
main/dbus-glib,1,1,1,1,1,1
main/dconf,1,1,1,1,1,1
main/ddate,1,1,1,1,1,1
main/debian-archive-keyring,1,1,1,1,1,1
main/debootstrap,1,1,1,1,1,1
main/desktop-file-utils,1,1,1,1,1,1
main/dev86,1,1,1,1,1,1
main/devicemaster-linux,1,1,1,1,1,1
main/devicemaster-linux-hardened,1,1,1,0,0,0
main/dhcp,1,1,1,1,1,1
main/dhcpcd,1,1,1,1,1,1
main/dhcpcd-dbus,1,1,1,1,1,1
main/dhcpcd-ui,1,1,1,1,1,1
main/dialog,1,1,1,1,1,1
main/diffutils,1,1,1,1,1,1
main/dillo,1,1,1,1,1,1
main/distcc,1,1,1,1,1,1
main/djbdns,1,1,1,1,1,1
main/dkimproxy,1,1,1,1,1,1
main/dmenu,1,1,1,1,1,1
main/dmidecode,1,1,1,1,1,1
main/dnsmasq,1,1,1,1,1,1
main/dnssec-root,1,1,1,1,1,1
main/dnstop,1,1,1,1,1,1
main/docbook-xml,1,1,1,1,1,1
main/docbook-xsl,1,1,1,1,1,1
main/docbook2x,1,1,1,1,1,1
main/docs,1,1,1,1,1,1
main/dosfstools,1,1,1,1,1,1
main/dovecot,1,1,1,1,1,1
main/doxygen,1,1,1,1,1,1
main/dpkg,1,1,1,1,1,1
main/drbd-utils,1,1,1,1,1,1
main/drbd9-hardened,1,1,1,0,0,0
main/dri2proto,1,1,1,1,1,1
main/dri3proto,1,1,1,1,1,1
main/dropbear,1,1,1,1,1,1
main/dtach,1,1,1,1,1,1
main/dtc,1,1,1,1,1,1
main/duplicity,1,1,1,1,1,1
main/duply,1,1,1,1,1,1
main/dvgrab,1,1,1,1,1,1
main/dwm,1,1,1,1,1,1
main/dzen,1,1,1,1,1,1
main/e2fsprogs,1,1,1,1,1,1
main/ebtables,1,1,1,1,1,1
main/eggdbus,1,1,1,1,1,1
main/eggdrop,1,1,1,1,1,1
main/elfutils,1,1,1,1,1,1
main/elinks,1,1,1,1,1,1
main/email,1,1,1,1,1,1
main/email2trac,1,1,1,1,1,1
main/enca,1,1,1,1,1,1
main/encfs,1,1,1,1,1,1
main/enchant,1,1,1,1,1,1
main/encodings,1,1,1,1,1,1
main/epris,1,1,1,1,1,1
main/espeak,1,1,1,1,1,1
main/ethtool,1,1,1,1,1,1
main/eudev,1,1,1,1,1,1
main/eventlog,1,1,1,1,1,1
main/execline,1,1,1,1,1,1
main/exiv2,1,1,1,1,1,1
main/exo,1,1,1,1,1,1
main/expat,1,1,1,1,1,1
main/expect,1,1,1,1,1,1
main/ez-ipupdate,1,1,1,1,1,1
main/f2fs-tools,1,1,1,1,1,1
main/faac,1,1,1,1,1,1
main/faad2,1,1,1,1,1,1
main/fail2ban,1,1,1,1,1,1
main/fakeroot,1,1,1,1,1,1
main/farstream,1,1,1,1,1,1
main/farstream0.1,1,1,1,1,1,1
main/fastjar,1,1,1,1,1,1
main/fcgi,1,1,1,1,1,1
main/fcgiwrap,1,1,1,1,1,1
main/feh,1,1,1,1,1,1
main/ferm,1,1,1,1,1,1
main/fetchmail,1,1,1,1,1,1
main/ffmpeg,1,1,1,1,1,1
main/fftw,1,1,1,1,1,1
main/figlet,1,1,1,1,1,1
main/file,1,1,1,1,1,1
main/findutils,1,1,1,1,1,1
main/fish,1,1,1,1,1,1
main/fixesproto,1,1,1,1,1,1
main/flac,1,1,1,1,1,1
main/flake8,1,1,1,1,1,1
main/flashcache-utils,1,1,1,1,1,1
main/flashrom,1,1,1,1,1,1
main/flex,1,1,1,1,1,1
main/flite,1,1,1,1,1,1
main/fltk,1,1,1,1,1,1
main/fluxbox,1,1,1,1,1,1
main/font-adobe-100dpi,1,1,1,1,1,1
main/font-adobe-75dpi,1,1,1,1,1,1
main/font-adobe-utopia-100dpi,1,1,1,1,1,1
main/font-adobe-utopia-75dpi,1,1,1,1,1,1
main/font-adobe-utopia-type1,1,1,1,1,1,1
main/font-alias,1,1,1,1,1,1
main/font-arabic-misc,1,1,1,1,1,1
main/font-bh-100dpi,1,1,1,1,1,1
main/font-bh-75dpi,1,1,1,1,1,1
main/font-bh-lucidatypewriter-100dpi,1,1,1,1,1,1
main/font-bh-lucidatypewriter-75dpi,1,1,1,1,1,1
main/font-bh-ttf,1,1,1,1,1,1
main/font-bh-type1,1,1,1,1,1,1
main/font-bitstream-100dpi,1,1,1,1,1,1
main/font-bitstream-75dpi,1,1,1,1,1,1
main/font-bitstream-speedo,1,1,1,1,1,1
main/font-bitstream-type1,1,1,1,1,1,1
main/font-cronyx-cyrillic,1,1,1,1,1,1
main/font-cursor-misc,1,1,1,1,1,1
main/font-daewoo-misc,1,1,1,1,1,1
main/font-dec-misc,1,1,1,1,1,1
main/font-ibm-type1,1,1,1,1,1,1
main/font-isas-misc,1,1,1,1,1,1
main/font-jis-misc,1,1,1,1,1,1
main/font-micro-misc,1,1,1,1,1,1
main/font-misc-cyrillic,1,1,1,1,1,1
