,x86,x86_64,armhf,aarch64,ppc64le,s390x
main/libiec61883,1,1,1,1,1,1
main/libinput,1,1,1,1,1,1
main/libiptcdata,1,1,1,1,1,1
main/libisoburn,1,1,1,1,1,1
main/libisofs,1,1,1,1,1,1
main/libjpeg-turbo,1,1,1,1,1,1
main/libksba,1,1,1,1,1,1
main/liblastfm,1,1,1,1,1,1
main/liblockfile,1,1,1,1,1,1
main/liblogging,1,1,1,1,1,1
main/libmaa,1,1,1,1,1,1
main/libmad,1,1,1,1,1,1
main/libmatroska,1,1,1,1,1,1
main/libmaxminddb,1,1,1,1,1,1
main/libmcrypt,1,1,1,1,1,1
main/libmemcached,1,1,1,1,1,1
main/libmicrohttpd,1,1,1,1,1,1
main/libmikmod,1,1,1,1,1,1
main/libmms,1,1,1,1,1,1
main/libmng,1,1,1,1,1,1
main/libmnl,1,1,1,1,1,1
main/libmodplug,1,1,1,1,1,1
main/libmowgli,1,1,1,1,1,1
main/libmp3splt,1,1,1,1,1,1
main/libmpdclient,1,1,1,1,1,1
main/libmpeg2,1,1,1,1,1,1
main/libmspack,1,1,1,1,1,1
main/libmtp,1,1,1,1,1,1
main/libnet,1,1,1,1,1,1
main/libnetfilter_acct,1,1,1,1,1,1
main/libnetfilter_conntrack,1,1,1,1,1,1
main/libnetfilter_cthelper,1,1,1,1,1,1
main/libnetfilter_cttimeout,1,1,1,1,1,1
main/libnetfilter_log,1,1,1,1,1,1
main/libnetfilter_queue,1,1,1,1,1,1
main/libnfnetlink,1,1,1,1,1,1
main/libnfs,1,1,1,1,1,1
main/libnfsidmap,1,1,1,1,1,1
main/libnftnl,1,1,1,1,1,1
main/libnice,1,1,1,1,1,1
main/libnih,1,1,1,1,1,1
main/libnjb,1,1,1,1,1,1
main/libnl,1,1,1,1,1,1
main/libnl3,1,1,1,1,1,1
main/libnotify,1,1,1,1,1,1
main/libogg,1,1,1,1,1,1
main/liboil,1,1,1,1,1,1
main/liboping,1,1,1,1,1,1
main/libotr,1,1,1,1,1,1
main/libotr3,1,1,1,1,1,1
main/libpaper,1,1,1,1,1,1
main/libpcap,1,1,1,1,1,1
main/libpciaccess,1,1,1,1,1,1
main/libpng,1,1,1,1,1,1
main/libpri,1,1,1,1,1,1
main/libproxy,1,1,1,1,1,1
main/libpthread-stubs,1,1,1,1,1,1
main/libqrencode,1,1,1,1,1,1
main/libquvi,1,1,1,1,1,1
main/libquvi-scripts,1,1,1,1,1,1
main/libraw,1,1,1,1,1,1
main/libraw1394,1,1,1,1,1,1
main/libresample,1,1,1,1,1,1
main/libressl,1,1,1,1,1,1
main/librevenge,1,1,1,1,1,1
main/librsvg,1,1,1,1,1,1
main/librsync,1,1,1,1,1,1
main/libsamplerate,1,1,1,1,1,1
main/libseccomp,1,1,1,1,1,1
main/libsecret,1,1,1,1,1,1
main/libsexy,1,1,1,1,1,1
main/libshout,1,1,1,1,1,1
main/libsigc++,1,1,1,1,1,1
main/libsm,1,1,1,1,1,1
main/libsndfile,1,1,1,1,1,1
main/libsodium,1,1,1,1,1,1
main/libsoup,1,1,1,1,1,1
main/libspf2,1,1,1,1,1,1
main/libsrtp,1,1,1,1,1,1
main/libssh,1,1,1,1,1,1
main/libssh2,1,1,1,1,1,1
main/libtasn1,1,1,1,1,1,1
main/libtheora,1,1,1,1,1,1
main/libtirpc,1,1,1,1,1,1
main/libtool,1,1,1,1,1,1
main/libtorrent,1,1,1,1,1,1
main/libtxc_dxtn,1,1,1,1,1,1
main/libunique,1,1,1,1,1,1
main/libunique3,1,1,1,1,1,1
main/libunistring,1,1,1,1,1,1
main/libunwind,0,1,1,1,0,0
main/libusb,1,1,1,1,1,1
main/libusb-compat,1,1,1,1,1,1
main/libuv,1,1,1,1,1,1
main/libva,1,1,1,1,1,1
main/libva-intel-driver,1,1,0,0,0,0
main/libvdpau,1,1,1,1,1,1
main/libverto,1,1,1,1,1,1
main/libvirt,1,1,1,1,1,1
main/libvncserver,1,1,1,1,1,1
main/libvorbis,1,1,1,1,1,1
main/libvpx,1,1,1,1,1,1
main/libwebp,1,1,1,1,1,1
main/libwebsockets,1,1,1,1,1,1
main/libwnck,1,1,1,1,1,1
main/libx11,1,1,1,1,1,1
main/libxau,1,1,1,1,1,1
main/libxaw,1,1,1,1,1,1
main/libxcb,1,1,1,1,1,1
main/libxcomposite,1,1,1,1,1,1
main/libxcursor,1,1,1,1,1,1
main/libxdamage,1,1,1,1,1,1
main/libxdg-basedir,1,1,1,1,1,1
main/libxdmcp,1,1,1,1,1,1
main/libxext,1,1,1,1,1,1
main/libxfce4ui,1,1,1,1,1,1
main/libxfce4util,1,1,1,1,1,1
main/libxfixes,1,1,1,1,1,1
main/libxfont,1,1,1,1,1,1
main/libxfont2,1,1,1,1,1,1
main/libxft,1,1,1,1,1,1
main/libxi,1,1,1,1,1,1
main/libxinerama,1,1,1,1,1,1
main/libxkbcommon,1,1,1,1,1,1
main/libxkbfile,1,1,1,1,1,1
main/libxkbui,1,1,1,1,1,1
main/libxklavier,1,1,1,1,1,1
main/libxml2,1,1,1,1,1,1
main/libxmu,1,1,1,1,1,1
main/libxp,1,1,1,1,1,1
main/libxpm,1,1,1,1,1,1
main/libxrandr,1,1,1,1,1,1
main/libxrender,1,1,1,1,1,1
main/libxres,1,1,1,1,1,1
main/libxscrnsaver,1,1,1,1,1,1
main/libxshmfence,1,1,1,1,1,1
main/libxslt,1,1,1,1,1,1
main/libxt,1,1,1,1,1,1
main/libxtst,1,1,1,1,1,1
main/libxv,1,1,1,1,1,1
main/libxvmc,1,1,1,1,1,1
main/libxxf86dga,1,1,1,1,1,1
main/libxxf86misc,1,1,1,1,1,1
main/libxxf86vm,1,1,1,1,1,1
main/libzdb,1,1,1,1,1,1
main/lighttpd,1,1,1,1,1,1
main/linenoise,1,1,1,1,1,1
main/links,1,1,1,1,1,1
main/linux-firmware,1,1,1,1,1,1
main/linux-hardened,1,1,1,0,0,0
main/linux-headers,1,1,1,1,1,1
main/linux-pam,1,1,1,1,1,1
main/linux-rpi,0,0,1,0,0,0
main/linux-vanilla,1,1,1,1,1,1
main/live-media,1,1,1,1,1,1
main/lksctp-tools,1,1,1,1,1,1
main/llvm4,1,1,1,1,1,1
main/lm_sensors,1,1,1,1,1,1
main/lockfile-progs,1,1,1,1,1,1
main/logcheck,1,1,1,1,1,1
main/logrotate,1,1,1,1,1,1
main/logtail,1,1,1,1,1,1
main/loudmouth,1,1,1,1,1,1
main/lsof,1,1,1,1,1,1
main/lsyncd,1,1,1,1,1,1
main/ltrace,1,1,1,0,1,1
main/lua,1,1,1,1,1,1
main/lua-alt-getopt,1,1,1,1,1,1
main/lua-aports,1,1,1,1,1,1
main/lua-asn1,1,1,1,1,1,1
main/lua-augeas,1,1,1,1,1,1
main/lua-bitlib,1,1,1,1,1,1
main/lua-cjson,1,1,1,1,1,1
main/lua-cmsgpack,1,1,1,1,1,1
main/lua-cqueues,1,1,1,1,1,1
main/lua-crypto,1,1,1,1,1,1
main/lua-curl,1,1,1,1,1,1
main/lua-dbi,1,1,1,1,1,1
main/lua-discount,1,1,1,1,1,1
main/lua-dns,1,1,1,1,1,1
main/lua-evdev,1,1,1,1,1,1
main/lua-expat,1,1,1,1,1,1
main/lua-feedparser,1,1,1,1,1,1
main/lua-filesystem,1,1,1,1,1,1
main/lua-gversion,1,1,1,1,1,1
main/lua-hashids,1,1,1,1,1,1
main/lua-iconv,1,1,1,1,1,1
main/lua-imlib2,1,1,1,1,1,1
main/lua-inspect,1,1,1,1,1,1
main/lua-json4,1,1,1,1,1,1
main/lua-ldap,1,1,1,1,1,1
main/lua-ldbus,1,1,1,1,1,1
main/lua-lub,1,1,1,1,1,1
main/lua-lustache,1,1,1,1,1,1
main/lua-lyaml,1,1,1,1,1,1
main/lua-lzlib,1,1,1,1,1,1
main/lua-lzmq,1,1,1,1,1,1
main/lua-maxminddb,1,1,1,1,1,1
main/lua-md5,1,1,1,1,1,1
main/lua-microlight,1,1,1,1,1,1
main/lua-mosquitto,1,1,1,1,1,1
main/lua-mqtt-publish,1,1,1,1,1,1
main/lua-openrc,1,1,1,1,1,1
main/lua-optarg,1,1,1,1,1,1
main/lua-ossl,1,1,1,1,1,1
main/lua-pc,1,1,1,1,1,1
main/lua-penlight,1,1,1,1,1,1
main/lua-posix,1,1,1,1,1,1
main/lua-posixtz,1,1,1,1,1,1
main/lua-pty,1,1,1,1,1,1
main/lua-rex,1,1,1,1,1,1
main/lua-sec,1,1,1,1,1,1
main/lua-soap,1,1,1,1,1,1
main/lua-socket,1,1,1,1,1,1
main/lua-sql,1,1,1,1,1,1
main/lua-sqlite,1,1,1,1,1,1
main/lua-stdlib,1,1,1,1,1,1
main/lua-stringy,1,1,1,1,1,1
main/lua-struct,1,1,1,1,1,1
main/lua-subprocess,1,1,1,1,1,1
main/lua-turbo,1,1,1,1,1,0
main/lua-uuid,1,1,1,1,1,1
main/lua-xctrl,1,1,1,1,1,1
main/lua-xml,1,1,1,1,1,1
main/lua-yaml,1,1,1,1,1,1
main/lua5.1,1,1,1,1,1,1
main/lua5.2,1,1,1,1,1,1
main/lua5.2-b64,1,1,1,1,1,1
main/lua5.2-file-magic,1,1,1,1,1,1
main/lua5.3,1,1,1,1,1,1
main/luajit,1,1,1,1,1,0
main/lucene++,1,1,1,1,1,1
main/lutok,1,1,1,1,1,1
main/lvm2,1,1,1,1,1,1
main/lxc,1,1,1,1,1,1
main/lxdm,1,1,1,1,1,1
main/lxpolkit,1,1,1,1,1,1
main/lxsession,1,1,1,1,1,1
main/lxterminal,1,1,1,1,1,1
main/lynx,1,1,1,1,1,1
main/lz4,1,1,1,1,1,1
main/lzip,1,1,1,1,1,1
main/lzo,1,1,1,1,1,1
main/m4,1,1,1,1,1,1
main/mailcap,1,1,1,1,1,1
main/mailx,1,1,1,1,1,1
main/make,1,1,1,1,1,1
main/makedepend,1,1,1,1,1,1
main/makekit,1,1,0,0,0,0
main/man-pages,1,1,1,1,1,1
main/mariadb,1,1,1,1,1,1
main/mc,1,1,1,1,1,1
main/mcabber,1,1,1,1,1,1
main/mcpp,1,1,1,1,1,1
main/mdadm,1,1,1,1,1,1
main/mdocml,1,1,1,1,1,1
main/memcached,1,1,1,1,1,1
main/menu-cache,1,1,1,1,1,1
main/mercurial,1,1,1,1,1,1
main/mesa,1,1,1,1,1,1
main/mg,1,1,1,1,1,1
main/micro-tetris,1,1,1,1,1,1
main/mini_httpd,1,1,1,1,1,1
main/minicom,1,1,1,1,1,1
main/minizip,1,1,1,1,1,1
main/mkfontdir,1,1,1,1,1,1
main/mkfontscale,1,1,1,1,1,1
main/mkinitfs,1,1,1,1,1,1
main/mksh,1,1,1,1,1,1
main/mlmmj,1,1,1,1,1,1
main/monit,1,1,1,1,1,1
main/monkeysphere,1,1,1,1,1,1
main/mosh,1,1,1,1,1,1
main/mosquitto,1,1,1,1,1,1
main/motif,1,1,1,1,1,1
main/mousepad,1,1,1,1,1,1
main/mp3splt,1,1,1,1,1,1
main/mp3splt-gtk,1,1,1,1,1,1
main/mpc,1,1,1,1,1,1
main/mpc1,1,1,1,1,1,1
main/mpd,1,1,1,1,1,1
main/mpdscribble,1,1,1,1,1,1
main/mpfr3,1,1,1,1,1,1
main/mpg123,1,1,1,1,1,1
main/mpt-status,1,1,1,1,1,1
main/mqtt-exec,1,1,1,1,1,1
main/mrtg,1,1,1,1,1,1
main/mrxvt,1,1,1,1,1,1
main/msmtp,1,1,1,1,1,1
main/mt-st,1,1,1,1,1,1
main/mtdev,1,1,1,1,1,1
main/mtools,1,1,1,1,1,1
main/mtr,1,1,1,1,1,1
main/mtx,1,1,1,1,1,1
main/multipath-tools,1,1,1,1,1,1
main/multisort,1,1,1,1,1,1
main/mupdf,1,1,1,1,1,1
main/musl,1,1,1,1,1,1
main/mutagen,1,1,1,1,1,1
main/mutt,1,1,1,1,1,1
main/myrepos,1,1,1,1,1,1
main/nagios,1,1,1,1,1,1
main/nagios-plugins,1,1,1,1,1,1
main/nano,1,1,1,1,1,1
main/nasm,1,1,1,1,1,1
main/ncdu,1,1,1,1,1,1
main/ncftp,1,1,1,1,1,1
main/ncmpc,1,1,1,1,1,1
main/ncurses,1,1,1,1,1,1
main/ncurses5,1,1,1,1,1,1
main/neon,1,1,1,1,1,1
main/net-snmp,1,1,1,1,1,1
main/net-tools,1,1,1,1,1,1
main/netcat-openbsd,1,1,1,1,1,1
main/netcf,1,1,1,1,1,1
main/nettle,1,1,1,1,1,1
main/network-extras,1,1,1,1,1,1
main/newsbeuter,1,1,1,1,1,1
main/newt,1,1,1,1,1,1
main/nfdump,1,1,1,1,1,1
main/nfs-utils,1,1,1,1,1,1
main/nftables,1,1,1,1,1,1
main/nghttp2,1,1,1,1,1,1
main/nginx,1,1,1,1,1,1
main/ngircd,1,1,1,1,1,1
main/ngrep,1,1,1,1,1,1
main/nikto,1,1,1,1,1,1
main/ninja,1,1,1,1,1,1
main/nload,1,1,1,1,1,1
main/nmap,1,1,1,1,1,1
main/nodejs,1,1,1,1,1,1
main/npth,1,1,1,1,1,1
main/nrpe,1,1,1,1,1,1
main/nsd,1,1,1,1,1,1
main/nspr,1,1,1,1,1,1
main/nss,1,1,1,1,1,1
main/nss-pam-ldapd,1,1,1,1,1,1
main/ntfs-3g,1,1,1,1,1,1
main/ntop,1,1,1,1,1,1
main/obex-data-server,1,1,1,1,1,1
main/ocfs2-tools,0,0,0,0,0,0
main/offlineimap,1,1,1,1,1,1
main/oidentd,1,1,1,1,1,1
main/omxplayer,0,0,1,0,0,0
main/oniguruma,1,1,1,1,1,1
main/open-iscsi,1,1,1,1,1,1
main/open-isns,1,1,1,1,1,1
main/open-lldp,1,1,1,1,1,1
main/open-vm-tools,1,1,0,0,0,0
main/openbox,1,1,1,1,1,1
main/openipmi,1,1,1,1,1,1
main/openjade,1,1,1,1,1,1
main/openjpeg,1,1,1,1,1,1
main/openldap,1,1,1,1,1,1
main/opennhrp,1,1,1,1,1,1
main/openntpd,1,1,1,1,1,1
main/openobex,1,1,1,1,1,1
main/openpgm,1,1,1,1,1,1
main/openrc,1,1,1,1,1,1
main/openresolv,1,1,1,1,1,1
main/opensmtpd,1,1,1,1,1,1
main/opensp,1,1,1,1,1,1
main/openssh,1,1,1,1,1,1
main/openssl,1,1,1,1,1,1
main/openvpn,1,1,1,1,1,1
main/openvpn-ad-check,1,1,1,1,1,1
main/openvpn-auth-ldap,1,1,1,1,1,1
main/openvswitch,1,1,1,1,1,1
main/oprofile,0,0,0,0,0,0
main/opus,1,1,1,1,1,1
main/opusfile,1,1,1,1,1,1
main/orage,1,1,1,1,1,1
main/orbit2,1,1,1,1,1,1
main/orc,1,1,1,1,1,1
main/ortp,1,1,1,1,1,1
main/p11-kit,1,1,1,1,1,1
main/p7zip,1,1,1,1,1,1
main/pacman,1,1,1,1,1,1
main/pam-pgsql,1,1,1,1,1,1
main/pango,1,1,1,1,1,1
main/pangomm,1,1,1,1,1,1
main/pangox-compat,1,1,1,1,1,1
main/parallel,1,1,1,1,1,1
main/parole,1,1,1,1,1,1
main/parted,1,1,1,1,1,1
main/partimage,1,1,1,1,1,1
main/patch,1,1,1,1,1,1
main/patchutils,1,1,1,1,1,1
main/patchwork,1,1,1,1,1,1
main/pax-utils,1,1,1,1,1,1
main/paxctl,1,1,1,1,1,1
main/paxmark,1,1,1,1,1,1
main/pciutils,1,1,1,1,1,1
main/pcmciautils,1,1,1,1,1,1
main/pcre,1,1,1,1,1,1
main/pcsc-lite,1,1,1,1,1,1
main/pdnsd,1,1,1,1,1,1
main/pekwm,1,1,1,1,1,1
main/perdition,1,1,1,1,1,1
main/perl,1,1,1,1,1,1
main/perl-apache-logformat-compiler,1,1,1,1,1,1
main/perl-apache-session,1,1,1,1,1,1
main/perl-archive-zip,1,1,1,1,1,1
main/perl-astro-suntime,1,1,1,1,1,1
main/perl-async-mergepoint,1,1,1,1,1,1
main/perl-authen-sasl,1,1,1,1,1,1
main/perl-b-hooks-endofscope,1,1,1,1,1,1
main/perl-boolean,1,1,1,1,1,1
main/perl-business-hours,1,1,1,1,1,1
main/perl-cache-cache,1,1,1,1,1,1
main/perl-cache-simple-timedexpiry,1,1,1,1,1,1
main/perl-canary-stability,1,1,1,1,1,1
main/perl-capture-tiny,1,1,1,1,1,1
main/perl-carp,1,1,1,1,1,1
main/perl-carp-clan,1,1,1,1,1,1
main/perl-cgi,1,1,1,1,1,1
main/perl-cgi-emulate-psgi,1,1,1,1,1,1
main/perl-cgi-fast,1,1,1,1,1,1
main/perl-cgi-psgi,1,1,1,1,1,1
main/perl-cgi-session,1,1,1,1,1,1
main/perl-class-accessor,1,1,1,1,1,1
main/perl-class-accessor-chained,1,1,1,1,1,1
main/perl-class-accessor-lite,1,1,1,1,1,1
main/perl-class-container,1,1,1,1,1,1
main/perl-class-data-inheritable,1,1,1,1,1,1
main/perl-class-inspector,1,1,1,1,1,1
main/perl-class-load,1,1,1,1,1,1
main/perl-class-method-modifiers,1,1,1,1,1,1
main/perl-class-mix,1,1,1,1,1,1
main/perl-class-returnvalue,1,1,1,1,1,1
main/perl-class-singleton,1,1,1,1,1,1
main/perl-clone,1,1,1,1,1,1
main/perl-compress-raw-bzip2,1,1,1,1,1,1
main/perl-compress-raw-zlib,1,1,1,1,1,1
main/perl-config-grammar,1,1,1,1,1,1
main/perl-config-inifiles,1,1,1,1,1,1
main/perl-control-x10,1,1,1,1,1,1
main/perl-convert-asn1,1,1,1,1,1,1
main/perl-convert-binhex,1,1,1,1,1,1
main/perl-convert-color,1,1,1,1,1,1
main/perl-convert-tnef,1,1,1,1,1,1
main/perl-convert-uulib,1,1,1,1,1,1
main/perl-cpan-meta-check,1,1,1,1,1,1
main/perl-cps,1,1,1,1,1,1
main/perl-crypt-des,1,1,1,1,1,1
main/perl-crypt-eksblowfish,1,1,1,1,1,1
main/perl-crypt-openssl-random,1,1,1,1,1,1
main/perl-crypt-openssl-rsa,1,1,1,1,1,1
main/perl-crypt-rijndael,1,1,1,1,1,1
main/perl-crypt-ssleay,1,1,1,1,1,1
main/perl-crypt-x509,1,1,1,1,1,1
main/perl-css-minifier-xs,1,1,1,1,1,1
main/perl-css-squish,1,1,1,1,1,1
main/perl-data-guid,1,1,1,1,1,1
main/perl-data-ical,1,1,1,1,1,1
main/perl-data-optlist,1,1,1,1,1,1
main/perl-data-page,1,1,1,1,1,1
main/perl-data-page-pageset,1,1,1,1,1,1
main/perl-data-uuid,1,1,1,1,1,1
main/perl-date-calc,1,1,1,1,1,1
main/perl-date-extract,1,1,1,1,1,1
main/perl-date-format,1,1,1,1,1,1
main/perl-date-manip,1,1,1,1,1,1
main/perl-datetime,1,1,1,1,1,1
main/perl-datetime-format-mail,1,1,1,1,1,1
main/perl-datetime-format-natural,1,1,1,1,1,1
main/perl-datetime-format-w3cdtf,1,1,1,1,1,1
main/perl-datetime-locale,1,1,1,1,1,1
main/perl-datetime-timezone,1,1,1,1,1,1
main/perl-db,1,1,1,1,1,1
main/perl-db_file,1,1,1,1,1,1
main/perl-dbd-mysql,1,1,1,1,1,1
main/perl-dbd-odbc,1,1,1,1,1,1
main/perl-dbd-pg,1,1,1,1,1,1
main/perl-dbd-sqlite,1,1,1,1,1,1
main/perl-dbi,1,1,1,1,1,1
main/perl-dbix-dbschema,1,1,1,1,1,1
main/perl-dbix-searchbuilder,1,1,1,1,1,1
main/perl-devel-checkbin,1,1,1,1,1,1
main/perl-devel-checklib,1,1,1,1,1,1
main/perl-devel-globaldestruction,1,1,1,1,1,1
main/perl-devel-stacktrace,1,1,1,1,1,1
main/perl-devel-stacktrace-ashtml,1,1,1,1,1,1
main/perl-devel-symdump,1,1,1,1,1,1
main/perl-device-serialport,1,1,1,1,1,1
main/perl-digest-hmac,1,1,1,1,1,1
main/perl-digest-md5,1,1,1,1,1,1
main/perl-digest-sha1,1,1,1,1,1,1
main/perl-dist-checkconflicts,1,1,1,1,1,1
main/perl-email-address,1,1,1,1,1,1
main/perl-email-address-list,1,1,1,1,1,1
main/perl-email-date-format,1,1,1,1,1,1
main/perl-encode,1,1,1,1,1,1
main/perl-encode-hanextra,1,1,1,1,1,1
main/perl-encode-locale,1,1,1,1,1,1
main/perl-error,1,1,1,1,1,1
main/perl-eval-closure,1,1,1,1,1,1
main/perl-exception-class,1,1,1,1,1,1
main/perl-exporter,1,1,1,1,1,1
main/perl-exporter-tiny,1,1,1,1,1,1
main/perl-extutils-cchecker,1,1,1,1,1,1
main/perl-extutils-config,1,1,1,1,1,1
main/perl-extutils-helpers,1,1,1,1,1,1
main/perl-extutils-installpaths,1,1,1,1,1,1
main/perl-fcgi,1,1,1,1,1,1
main/perl-fcgi-procmanager,1,1,1,1,1,1
main/perl-file-listing,1,1,1,1,1,1
main/perl-file-next,1,1,1,1,1,1
main/perl-file-rsync,1,1,1,1,1,1
main/perl-file-sharedir,1,1,1,1,1,1
main/perl-file-sharedir-install,1,1,1,1,1,1
main/perl-file-slurp,1,1,1,1,1,1
main/perl-file-slurp-tiny,1,1,1,1,1,1
main/perl-file-tail,1,1,1,1,1,1
main/perl-file-temp,1,1,1,1,1,1
main/perl-file-which,1,1,1,1,1,1
main/perl-filesys-notify-simple,1,1,1,1,1,1
main/perl-font-afm,1,1,1,1,1,1
main/perl-future,1,1,1,1,1,1
main/perl-gd,1,1,1,1,1,1
main/perl-gdgraph,1,1,1,1,1,1
main/perl-gdtextutil,1,1,1,1,1,1
main/perl-getopt-long,1,1,1,1,1,1
main/perl-hash-multivalue,1,1,1,1,1,1
main/perl-heap,1,1,1,1,1,1
main/perl-html-format,1,1,1,1,1,1
main/perl-html-formattext-withlinks,1,1,1,1,1,1
main/perl-html-formattext-withlinks-andtables,1,1,1,1,1,1
main/perl-html-mason,1,1,1,1,1,1
main/perl-html-mason-psgihandler,1,1,1,1,1,1
main/perl-html-parser,1,1,1,1,1,1
main/perl-html-quoted,1,1,1,1,1,1
main/perl-html-rewriteattributes,1,1,1,1,1,1
main/perl-html-scrubber,1,1,1,1,1,1
main/perl-html-tagset,1,1,1,1,1,1
main/perl-html-tree,1,1,1,1,1,1
main/perl-http-body,1,1,1,1,1,1
main/perl-http-cookies,1,1,1,1,1,1
main/perl-http-daemon,1,1,1,1,1,1
main/perl-http-date,1,1,1,1,1,1
main/perl-http-message,1,1,1,1,1,1
main/perl-http-negotiate,1,1,1,1,1,1
main/perl-image-exiftool,1,1,1,1,1,1
main/perl-importer,1,1,1,1,1,1
main/perl-inline,1,1,1,1,1,1
main/perl-inline-c,1,1,1,1,1,1
main/perl-io,1,1,1,1,1,1
main/perl-io-async,1,1,1,1,1,1
main/perl-io-captureoutput,1,1,1,1,1,1
main/perl-io-compress,1,1,1,1,1,1
main/perl-io-html,1,1,1,1,1,1
main/perl-io-multiplex,1,1,1,1,1,1
main/perl-io-socket-ssl,1,1,1,1,1,1
main/perl-io-stringy,1,1,1,1,1,1
main/perl-io-tty,1,1,1,1,1,1
main/perl-ipc-run3,1,1,1,1,1,1
main/perl-ipc-sharelite,1,1,1,1,1,1
main/perl-ipc-system-simple,1,1,1,1,1,1
main/perl-javascript-minifier,1,1,1,1,1,1
main/perl-javascript-minifier-xs,1,1,1,1,1,1
main/perl-json,1,1,1,1,1,1
main/perl-ldap,1,1,1,1,1,1
main/perl-libwww,1,1,1,1,1,1
main/perl-list-allutils,1,1,1,1,1,1
main/perl-list-moreutils,1,1,1,1,1,1
main/perl-list-someutils,1,1,1,1,1,1
main/perl-list-someutils-xs,1,1,1,1,1,1
main/perl-list-utilsby,1,1,1,1,1,1
main/perl-locale-maketext-fuzzy,1,1,1,1,1,1
main/perl-locale-maketext-lexicon,1,1,1,1,1,1
main/perl-log-any,1,1,1,1,1,1
main/perl-log-dispatch,1,1,1,1,1,1
main/perl-lwp-mediatypes,1,1,1,1,1,1
main/perl-lwp-protocol-https,1,1,1,1,1,1
main/perl-lwp-useragent-determined,1,1,1,1,1,1
main/perl-mail-clamav,1,1,1,1,1,1
main/perl-mail-dkim,1,1,1,1,1,1
main/perl-mail-domainkeys,1,1,1,1,1,1
main/perl-mail-imapclient,1,1,1,1,1,1
main/perl-mail-spamassassin,1,1,1,1,1,1
main/perl-mail-spf,1,1,1,1,1,1
main/perl-mailtools,1,1,1,1,1,1
main/perl-math-round,1,1,1,1,1,1
main/perl-mime-base64,1,1,1,1,1,1
main/perl-mime-lite,1,1,1,1,1,1
main/perl-mime-tools,1,1,1,1,1,1
main/perl-mime-types,1,1,1,1,1,1
main/perl-module-build,1,1,1,1,1,1
main/perl-module-build-tiny,1,1,1,1,1,1
main/perl-module-implementation,1,1,1,1,1,1
main/perl-module-metadata,1,1,1,1,1,1
main/perl-module-pluggable,1,1,1,1,1,1
main/perl-module-refresh,1,1,1,1,1,1
main/perl-module-runtime,1,1,1,1,1,1
main/perl-module-util,1,1,1,1,1,1
main/perl-module-versions-report,1,1,1,1,1,1
main/perl-mozilla-ca,1,1,1,1,1,1
main/perl-mro-compat,1,1,1,1,1,1
main/perl-namespace-autoclean,1,1,1,1,1,1
main/perl-namespace-clean,1,1,1,1,1,1
main/perl-net-async-http,1,1,1,1,1,1
main/perl-net-cidr,1,1,1,1,1,1
main/perl-net-cidr-lite,1,1,1,1,1,1
main/perl-net-dns,1,1,1,1,1,1
main/perl-net-dns-resolver-programmable,1,1,1,1,1,1
main/perl-net-http,1,1,1,1,1,1
main/perl-net-ip,1,1,1,1,1,1
main/perl-net-libidn,1,1,1,1,1,1
main/perl-net-openssh,1,1,1,1,1,1
main/perl-net-rblclient,1,1,1,1,1,1
main/perl-net-server,1,1,1,1,1,1
main/perl-net-smtp-ssl,1,1,1,1,1,1
main/perl-net-smtp-tls-butmaintained,1,1,1,1,1,1
main/perl-net-snmp,1,1,1,1,1,1
main/perl-net-snpp,1,1,1,1,1,1
main/perl-net-ssleay,1,1,1,1,1,1
main/perl-net-telnet,1,1,1,1,1,1
main/perl-netaddr-ip,1,1,1,1,1,1
main/perl-package-anon,1,1,1,1,1,1
main/perl-package-deprecationmanager,1,1,1,1,1,1
main/perl-package-stash,1,1,1,1,1,1
main/perl-package-stash-xs,1,1,1,1,1,1
main/perl-parallel-prefork,1,1,1,1,1,1
main/perl-params-classify,1,1,1,1,1,1
main/perl-params-util,1,1,1,1,1,1
main/perl-params-validate,1,1,1,1,1,1
main/perl-params-validationcompiler,1,1,1,1,1,1
main/perl-parse-recdescent,1,1,1,1,1,1
main/perl-parse-syslog,1,1,1,1,1,1
main/perl-path-class,1,1,1,1,1,1
main/perl-pathtools,1,1,1,1,1,1
main/perl-php-serialization,1,1,1,1,1,1
main/perl-plack,1,1,1,1,1,1
main/perl-pod-coverage,1,1,1,1,1,1
main/perl-posix-strftime-compiler,1,1,1,1,1,1
main/perl-probe-perl,1,1,1,1,1,1
main/perl-proc-wait3,1,1,1,1,1,1
main/perl-protocol-websocket,1,1,1,1,1,1
main/perl-regexp-common,1,1,1,1,1,1
main/perl-regexp-common-net-cidr,1,1,1,1,1,1
main/perl-regexp-ipv6,1,1,1,1,1,1
main/perl-role-basic,1,1,1,1,1,1
main/perl-role-tiny,1,1,1,1,1,1
main/perl-rt-extension-commandbymail,1,1,1,1,1,1
main/perl-scalar-list-utils,1,1,1,1,1,1
main/perl-scope-guard,1,1,1,1,1,1
main/perl-scope-upper,1,1,1,1,1,1
main/perl-server-starter,1,1,1,1,1,1
main/perl-set-intspan,1,1,1,1,1,1
main/perl-snmp-session,1,1,1,1,1,1
main/perl-socket,1,1,1,1,1,1
main/perl-socket-getaddrinfo,1,1,1,1,1,1
main/perl-socket6,1,1,1,1,1,1
main/perl-specio,1,1,1,1,1,1
main/perl-starlet,1,1,1,1,1,1
main/perl-stream-buffered,1,1,1,1,1,1
